business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
4794,94107.0,37.778634000000004,-122.39308899999999,71.0,103138.0,3.0,2018,10,30
66517,94102.0,37.781168,-122.419494,84.0,103120.0,3.0,2019,5,24
38231,94133.0,37.808240000000005,-122.41018899999999,92.0,103119.0,4.0,2019,8,16
37171,94103.0,37.781664,-122.40477800000001,92.0,103120.0,3.0,2019,9,9
226,94111.0,37.799594,-122.400586,74.0,103133.0,1.0,2019,9,5
68320,94105.0,37.789814,-122.398789,85.0,103133.0,1.0,2019,7,15
1269,94105.0,37.790944,-122.392051,94.0,103154.0,1.0,2019,7,16
63652,94102.0,37.788918,-122.408507,94.0,103133.0,1.0,2019,9,4
17689,94105.0,37.787147999999995,-122.40082199999999,74.0,103119.0,4.0,2017,9,5
38808,94122.0,37.763603,-122.477497,69.0,103114.0,1.0,2019,8,5
38808,94122.0,37.763603,-122.477497,69.0,103142.0,1.0,2019,8,5
2589,94102.0,37.786363,-122.40835700000001,87.0,103142.0,1.0,2019,8,5
38808,94122.0,37.763603,-122.477497,69.0,103119.0,4.0,2019,8,5
7768,94115.0,37.775797999999995,-122.42618700000001,90.0,103116.0,3.0,2019,8,2
328,94115.0,37.783017,-122.432584,81.0,103103.0,3.0,2016,11,22
7768,94115.0,37.775797999999995,-122.42618700000001,90.0,103138.0,3.0,2019,8,2
3485,94121.0,37.770346,-122.510896,90.0,103131.0,1.0,2017,7,11
38808,94122.0,37.763603,-122.477497,69.0,103133.0,1.0,2019,8,5
4593,94133.0,37.808240000000005,-122.41018899999999,98.0,103142.0,1.0,2019,7,25
38808,94122.0,37.763603,-122.477497,69.0,103120.0,3.0,2019,8,5
7768,94115.0,37.775797999999995,-122.42618700000001,90.0,103129.0,4.0,2019,8,2
65241,94107.0,37.757815,-122.39014099999999,90.0,103144.0,2.0,2019,7,11
15120,94103.0,37.784317,-122.40756299999998,89.0,103124.0,1.0,2019,9,6
2684,94131.0,37.746759000000004,-122.42699499999999,87.0,103109.0,1.0,2019,7,15
59021,94112.0,37.720912,-122.437603,92.0,103144.0,2.0,2019,8,15
68320,94105.0,37.789814,-122.398789,85.0,103156.0,2.0,2019,7,15
3151,94133.0,37.796808,-122.40796399999999,62.0,103114.0,1.0,2016,11,14
34434,94105.0,37.785654,-122.39972900000001,92.0,103161.0,1.0,2019,3,7
328,94115.0,37.783017,-122.432584,81.0,103149.0,1.0,2016,11,22
38808,94122.0,37.763603,-122.477497,69.0,103135.0,3.0,2019,8,5
1304,94122.0,37.764128,-122.46496100000002,79.0,103150.0,4.0,2018,1,31
60400,94114.0,37.764233000000004,-122.43253999999999,90.0,103145.0,3.0,2019,4,23
2922,94102.0,37.788882,-122.41083300000001,82.0,103109.0,1.0,2019,7,18
70562,94109.0,37.791694,-122.42094399999999,88.0,103154.0,1.0,2019,7,10
34046,94121.0,37.779373,-122.4999,86.0,103120.0,3.0,2019,9,20
68320,94105.0,37.789814,-122.398789,85.0,103157.0,2.0,2019,7,15
67985,94103.0,37.774722,-122.40676100000002,88.0,103144.0,2.0,2019,9,23
4746,94105.0,37.791588,-122.39291999999999,82.0,103154.0,1.0,2019,7,8
3229,94121.0,37.780083000000005,-122.483108,81.0,103139.0,3.0,2018,2,7
33945,94105.0,37.790696999999994,-122.39956299999999,94.0,103161.0,1.0,2019,7,8
3256,94112.0,37.709737,-122.45007,94.0,103154.0,1.0,2019,6,4
2721,94114.0,37.766814000000004,-122.428846,85.0,103161.0,1.0,2018,7,18
3951,94121.0,37.779962,-122.48508700000001,77.0,103149.0,1.0,2019,7,29
13041,94133.0,37.798229,-122.40348999999999,92.0,103145.0,3.0,2019,6,5
4864,94110.0,37.759174,-122.41906599999999,78.0,103144.0,2.0,2019,7,8
3165,94121.0,37.776599,-122.478292,85.0,103124.0,1.0,2019,6,4
